German,English
schule,Feeling
unten,News
funktioniert,school
Papa,below
bloß,functions
i,papa
geschehen,just
Arsch,i
hart,happen
dauert,ass
böse,hard
werfen,lasts
dumm,evil
ehrlich,throw
zeug,dumb
brechen,honest
John,things
aussehen,break
zahlen,John
langsam,look
dasselbe,pay
Nummer,slow
wohin,the same
leicht,number
verbrechen,where
entscheiden,light
besuch,crime
Eltern,decide
singen,visit
bewegen,Parents
menge,sing
öffnen,move
König,crowd
drauf,open
wahrscheinlich,king
irgendwie,on it
drehen,probably
krank,somehow
Befehl,turn
interessiert,sick
Telefon,command
hübsch,interested
tanzen,phone
hierher,pretty
irgendwas,dance
zuerst,here
verletzt,something
bereits,first
gestohlen,injured
opfer,already
Hölle,stolen
Arzt,victim
Straße,hell
erledigt,Physician
direkt,Street
Doktor,completed
froh,direct
großartig,doctor
steig,glad
sondern,great
Fehler,climb
hängt,rather
schwarze,Mistake
erfahren,hangs
willkommen,black
besorgt,experience
vorstellen,welcome
kaum,worried
Millionen,introduce
klappe,barely
erkennen,millions
Sekunden,flap
sechs,recognize
Kumpel,seconds
stück,six
Geschäft,buddy
Mord,piece
zehn,Business
Büro,murder
wert,ten
acht,Office
Idiot,value
Aufgabe,eight
himmel,idiot
ehre,Task
fehlt,heaven
bauen,honor
vermisst,missing
halb,build
zweite,missing
überall,half
ansehen,second
küssen,everywhere
licht,view
perfekt,kiss
völlig,light
zerstört,perfect
herausfinden,fully
trotzdem,destroyed
still,find out
hm,despite it
erde,quiet
bieten,Hm
schwierig,earth
weh,offer
schade,difficult
person,sore
Luft,too bad
angriff,person
behalten,Air
cool,attack
druck,keep
Foto,cool
tief,pressure
wunder,photo
normal,deep
schwöre,wonder
spannende,normal
schrecklich,swear
deswegen,exciting
sinn,because of this
lustig,thereafter
erschossen,sense
fuß,funny
melden,shot
fassen,foot
regeln,report
ziel,grasp
stören,regulate
Körper,goal
treten,disturb
überleben,Body
Kaffee,step
gefährlich,survive
erreichen,Coffee
wow,dangerous
beruhigen,to reach
Wind,Wow
links,calm
raum,wind
übernehmen,left
guck,space
blöd,take over
Party,look
Onkel,stupid
selber,party
nochmal,Uncle
nachdem,himself
wahl,after
komisch,rest
Leiche,choice
kostet,funny
Witz,Corpse
Sam,costs
drüben,Joke
rot,Sam
persönlich,over
deutsche,red
weise,personal
irgendwo,German
haare,way
Beine,somewhere
Pferd,hair
tja,Legs
genauso,Horse
wunderbar,well
Schlüssel,just as
Krankenhaus,wonderful
vorsichtig,Key
damals,hospital
zwar,cautious
verzeihen,at that time
beeil,that is
Gefängnis,pardon
unglaublich,hurry
ärger,Jail
kraft,incredible
seltsam,aggravation
Wohnung,power
heilige,strange
kalt,Apartment
stolz,holy
Boss,cold
Arschloch,proud
Zukunft,boss
Geist,asshole
irgendeine,Future
nachgedacht,Spirit
bekannt,any
merken,thought about
rolle,known
Mund,remember
Entscheidung,role
gedanken,mouth
außerdem,Decision
offen,thoughts
wovon,aside from that
fürchte,open
nähe,of which
karte,fear
Boden,vicinity
Mörder,map
sobald,Floor
schmerz,Murderer
Mist,as soon as
Michael,pain
super,crap
irre,Michael
klasse,super
Schluss,crazy
Angebot,class
beschützen,Ending
bericht,Offer
stopp,protect
interessant,report
solange,stop
Charlie,interesting
entfernt,as long as
Sicherheit,Charlie
Gäste,removed
eher,Security
verändert,Guests
erwischt,rather
jemals,changed
besonders,caught
Brief,ever
verlangt,particularly
aufgenommen,letter
Agent,required
wenigstens,recorded
wette,agent
absolut,at least
Lady,bet
unmöglich,absolutely
Liebling,lady
nötig,Darling
traurig,information
heraus,necessary
Tiere,sad
Geheimnis,out of here
mitnehmen,Animals
nutzen,Secret
rennen,take along
sieben,to use
Meinung,run
Vogel,seven
verwenden,Opinion
Präsident,Bird
punkt,use
hinten,president
besitz,point
Soldaten,rear
Hotel,possession
fick,soldiers
dunkel,hotel
tisch,fuck
gewissen,dark
Zug,table
feind,conscience
plötzlich,Train
schützen,enemy
verheiratet,suddenly
wunderschön,protect
aufhalten,married
frank,beautiful
verliebt,stop
Handy,frank
zählt,in love
Kleid,cell phone
schnappen,counts
griff,Dress
treiben,grab
Bewegung,handle
riecht,to drive
überlegen,Movement
springen,smells
vorher,superior
erhalten,jump
Verzeihung,previously
beenden,receive
tatsächlich,forgiveness
Anwalt,finish
York,actually
Peter,Attorney
Geschenk,York
Streit,Peter
blick,Gift
bescheid,Fight
verfolgt,view
feiern,notice
Seele,pursued
schritt,celebrate
Finger,Soul
Möglichkeit,step
verraten,finger
überprüfen,Possibility
Fenster,betrayed
kochen,check
besonderes,Window
überrascht,cook
verhaftet,special
erlaubt,surprised
augenblick,arrested
zurückkommen,allowed
schnitt,moment
spüren,come back
angenommen,cut
Tasche,sense
packen,assumed
Beziehung,Bag
Chef,pack
schwach,Relationship
Polizist,boss
wählen,weak
genießen,policeman
obwohl,choose
kennenzulernen,enjoy
rauchen,although
handeln,to get to know
verpasst,smoke
preis,act
angetan,missed
Test,price
behandelt,impressed
fisch,test
gezwungen,treated
verbunden,fish
dagegen,forced
rum,tied together
Max,against it
Boot,rum
rücken,Max
dringend,boat
Schwein,back
ständig,urgent
überzeugt,Pig
Bier,constant
aufwachen,convinced
leer,Beer
atmen,wake up
willen,empty
unterwegs,breathe
Verbindung,sake
jagen,on the way
Eier,Connection
zuhause,hunting
partner,eggs
Gesetz,at home
Hochzeit,partner
betrogen,Law
ewig,Wedding
Weiss,cheated
fressen,forever
naja,White
Frieden,eat
herum,Oh well
fremden,Peace
geboren,around
rüber,strangers
David,born
manche,over
Richtung,David
bar,some
müde,Direction
irgendetwas,bear
reiß,tired
Paris,anything
gemeinsam,tear
sauber,Paris
Unfall,together
Volk,clean
Flugzeug,Accident
beschäftigt,People
herkommen,Airplane
Schuss,busy
ermordet,come here
geschenkt,shot
mitten,murdered
aufgeregt,gifted
lösen,middle
derjenige,upset
Firma,solve
blau,the one
wirkt,company
erwachsen,blue
Beispiel,works
ring,adult
Ohren,Example
decke,ring
beobachtet,ears
wozu,ceiling
Harry,observed
grab,for what reason
verflucht,Harry
Paul,grave
Kontrolle,cursed
Berg,Paul
Wald,control
getrennt,Mountain
furchtbar,Forest
leisten,separated
liste,terrible
Vorsicht,afford
Kamera,list
Professor,Caution
Computer,camera
frisch,professor
aufpassen,computer
Schuhe,fresh
wild,watch out
wofür,Shoes
Kontakt,wild
darin,for what
sonne,contact
leck,in it
dahin,sun
Rose,leak
Bullen,there
gold,rose
starten,Bulls
Baum,gold
menschliche,start
dick,Tree
warm,human
entspann,thick
dritte,warm
irgendwann,relax
Erinnerung,third
Mark,sometime
jedenfalls,Memory
kaputt,mark
hoffentlich,anyway
Hoffnung,broken
tschüss,hopefully
sowieso,Hope
leise,bye
unbedingt,anyway
trauen,quiet
zumindest,absolutely
Überraschung,trust
runde,at least
bisher,Surprise
heil,round
Drogen,until now
Hunger,unhurt
offensichtlich,Drugs
gewarnt,hunger
Held,apparently
neben,warned
ergibt,hero
nick,next to
gesund,results
Patienten,Nick
erwähnt,healthy
sauer,Patients
brennt,mentioned
Glas,sour
Geburtstag,burns
Gericht,Glass
nerven,Birthday
angekommen,Court
vergeben,annoy
entdeckt,arrived
Maschine,forgive
übel,discovered
mitgebracht,machine
Regierung,bad
Henry,brought along
unterschied,Government
unschuldig,Henry
Schicksal,difference
Armee,innocent
schlampe,Fate
klingelt,army
Nase,slut
schuldig,rings
lächeln,Nose
angestellt,guilty
Tante,smile
Kirche,employed
betrunken,aunt
Hose,Church
verdächtigen,drunk
Bord,pants
Untertitel,suspect
Situation,board
übrig,Subtitles
irgendwelche,situation
unternehmen,left over
erlebt,any
Lied,company
vorbereitet,experienced
ausgehen,song
Stein,prepared
vermutlich,go out
Gebäude,Stone
Drink,allegedly
Grad,Building
Alex,drink
Majestät,degree
diesmal,Alex
vertrag,majesty
Ehemann,this time
ha,contract
verantwortlich,Husband
stöhnt,Ha
klopfen,responsible
probieren,moans
regen,knock
Zeitung,try out
Kugel,rain
vergnügen,Newspaper
geklaut,Bullet
ball,enjoyment
klug,stolen
hinterlassen,ball
fantastisch,smart
witzig,leave behind
gegenüber,fantastic
Ben,funny
schmeckt,opposite
Show,Ben
verbrannt,tastes
Gesellschaft,show
miteinander,burned
aufstehen,Company
Lust,each other
verhalten,stand up
Insel,Desire
abholen,behave
erfolg,Island
Dorf,pick up
Freude,Village
grenze,run away
ran,Joy
nämlich,border
aufgetaucht,ran
beten,namely
loch,appeared
Gruppe,pray
grüß,hole
fliehen,group
grün,greetings
Zeichen,flee
heim,green
Tee,Sign
übrigens,home
bombe,tea
eis,by the way
quatsch,bomb
nervös,ice
soweit,nonsense
indem,nervous
Blumen,as far as
unterschreiben,by
Achtung,Flowers
empfangen,sign
erscheinen,Danger
bemerkt,received
hals,appear
flucht,noticed
kapiert,neck
Don,escape
Weihnachten,got it
Sarah,Don
Bob,Christmas
Vergangenheit,Sarah
entweder,bob
Sheriff,Past
geheim,either
weder,sheriff
anziehen,secret
jawohl,neither
Gespräch,put on 
ungefähr,yes indeed
entkommen,Conversation
zuvor,approximately
Position,escape
Amerika,before
bestellt,position
verboten,America
glückwunsch,ordered
Königin,forbidden
Staaten,congratulations
Adresse,queen
Meer,address
drinnen,Knife
behauptet,sea
mitkommen,inside
herein,claims
